territory_certificate,output_multiple,resource_multiple,territory_hp,territory_def,recovery_hp,display_farm,display_lumbering,display_mine
2100021,1,1,2000,10,10,1208101,1208201,1208301
2100022,7,7,20000,20,60,1208101,1208201,1208301
2100023,14,14,24000,30,80,1208101,1208201,1208301
2100024,21,21,28800,40,100,1208101,1208201,1208301
2100025,28,28,35000,50,120,1208101,1208201,1208301
2100026,35,35,42000,60,140,1208101,1208201,1208301
2100027,42,42,50000,70,160,1208101,1208201,1208301
2100028,49,49,60000,80,180,1208101,1208201,1208301
2100029,56,56,72000,90,200,1208101,1208201,1208301
2100030,63,63,86400,100,220,1208101,1208201,1208301
2100031,70,70,108000,110,240,1208111,1208211,1208311
