itemid,quality,class,type,value,canuse,drop,cansee,init_count,autoinc_type,autoinc_time,autoinc_step,autoinc_bound,is_public
2001001,1,1,1,5,0,{},1,0,none,0,0,0,0
2001002,2,1,1,60,0,{},1,0,none,0,0,0,0
2001003,3,1,1,480,0,{},1,0,none,0,0,0,0
2002001,1,1,2,5,0,{},1,0,none,0,0,0,0
2002002,2,1,2,60,0,{},1,0,none,0,0,0,0
2002003,3,1,2,480,0,{},1,0,none,0,0,0,0
2003001,1,1,3,5,0,{},1,0,none,0,0,0,0
2003002,2,1,3,60,0,{},1,0,none,0,0,0,0
2003003,3,1,3,480,0,{},1,0,none,0,0,0,0
2004001,1,1,4,5,0,{},1,0,none,0,0,0,0
2004002,2,1,4,60,0,{},1,0,none,0,0,0,0
2004003,3,1,4,480,0,{},1,0,none,0,0,0,0
2005001,1,1,5,5,0,{},1,0,none,0,0,0,0
2005002,2,1,5,60,0,{},1,0,none,0,0,0,0
2005003,3,1,5,480,0,{},1,0,none,0,0,0,0
2100020,1,2,1,0,0,{},0,0,Daily,1260,1,1,0
2100038,1,2,2,0,0,{},0,0,Daily,1260,1,1,0
2100040,1,2,3,0,0,{},0,0,Daily,1260,10,10,0
2100042,1,2,4,0,0,{},0,0,Daily,1260,3,3,0
2100043,1,2,5,0,0,{},0,0,Daily,1260,0,0,0
1101004,1,3,4,0,0,{},0,0,none,0,0,0,0
2100005,1,4,1,0,2806001,{},1,0,none,0,0,0,0
2100006,1,4,2,0,2806002,{},1,0,none,0,0,0,0
2100007,1,4,3,0,2806003,{},1,0,none,0,0,0,0
2100008,1,4,4,0,2806004,{},1,0,none,0,0,0,0
2100009,1,4,5,0,2806005,{},1,0,none,0,0,0,0
2100010,1,4,6,0,2806006,{},1,0,none,0,0,0,0
2100011,1,4,7,0,2806007,{},1,0,none,0,0,0,0
2100012,1,4,8,0,2806008,{},1,0,none,0,0,0,0
2100013,1,4,9,0,2806009,{},1,0,none,0,0,0,0
2100014,1,4,10,0,2806010,{},1,0,none,0,0,0,0
2100015,1,4,11,0,2806011,{},1,0,none,0,0,0,0
2100016,1,4,12,0,2806012,{},1,0,none,0,0,0,0
2100017,1,4,13,0,2806013,{},1,0,none,0,0,0,0
2100018,1,4,14,0,2806014,{},1,0,none,0,0,0,0
2100019,1,4,15,0,2806015,{},1,0,none,0,0,0,0
2100021,1,5,0,0,0,{},1,20,none,0,0,0,0
2100022,1,5,1,0,0,{},1,0,none,0,0,0,0
2100023,1,5,2,0,0,{},1,0,none,0,0,0,0
2100024,1,5,3,0,0,{},1,0,none,0,0,0,0
2100025,1,5,4,0,0,{},1,0,none,0,0,0,0
2100026,1,5,5,0,0,{},1,0,none,0,0,0,0
2100027,1,5,6,0,0,{},1,0,none,0,0,0,0
2100028,1,5,7,0,0,{},1,0,none,0,0,0,0
2100029,1,5,8,0,0,{},1,0,none,0,0,0,0
2100030,1,5,9,0,0,{},1,0,none,0,0,0,0
